"the_date","weekday","month_label","number_of_visits","number_of_visits.real","week_in_month"
2023-08-21,"Mon","August 2023",477,477,4
2023-08-22,"Tue","August 2023",81,81,4
2023-08-23,"Wed","August 2023",184,184,4
2023-08-24,"Thu","August 2023",0,NA,4
2023-08-25,"Fri","August 2023",0,NA,4
2023-08-26,"Sat","August 2023",0,NA,4
2023-08-27,"Sun","August 2023",0,NA,5
2023-08-28,"Mon","August 2023",464,464,5
2023-08-29,"Tue","August 2023",311,311,5
2023-08-30,"Wed","August 2023",339,339,5
2023-08-31,"Thu","August 2023",0,NA,5
2023-09-01,"Fri","September 2023",0,NA,1
2023-09-02,"Sat","September 2023",0,NA,1
2023-09-03,"Sun","September 2023",0,NA,2
2023-09-04,"Mon","September 2023",0,NA,2
2023-09-05,"Tue","September 2023",66,66,2
2023-09-06,"Wed","September 2023",51,51,2
2023-09-07,"Thu","September 2023",0,NA,2
2023-09-08,"Fri","September 2023",0,NA,2
2023-09-09,"Sat","September 2023",0,NA,2
2023-09-10,"Sun","September 2023",0,NA,3
2023-09-11,"Mon","September 2023",28,28,3
2023-09-12,"Tue","September 2023",115,115,3
2023-09-13,"Wed","September 2023",71,71,3
2023-09-14,"Thu","September 2023",0,NA,3
2023-09-15,"Fri","September 2023",0,NA,3
2023-09-16,"Sat","September 2023",0,NA,3
2023-09-17,"Sun","September 2023",0,NA,4
2023-09-18,"Mon","September 2023",41,41,4
2023-09-19,"Tue","September 2023",188,188,4
2023-09-20,"Wed","September 2023",56,56,4
2023-09-21,"Thu","September 2023",0,NA,4
2023-09-22,"Fri","September 2023",0,NA,4
2023-09-23,"Sat","September 2023",0,NA,4
2023-09-24,"Sun","September 2023",0,NA,5
2023-09-25,"Mon","September 2023",18,18,5
2023-09-26,"Tue","September 2023",170,170,5
2023-09-27,"Wed","September 2023",47,47,5
2023-09-28,"Thu","September 2023",0,NA,5
2023-09-29,"Fri","September 2023",0,NA,5
2023-09-30,"Sat","September 2023",0,NA,5
2023-10-01,"Sun","October 2023",0,NA,1
2023-10-02,"Mon","October 2023",484,484,1
2023-10-03,"Tue","October 2023",125,125,1
2023-10-04,"Wed","October 2023",93,93,1
2023-10-05,"Thu","October 2023",0,NA,1
2023-10-06,"Fri","October 2023",0,NA,1
2023-10-07,"Sat","October 2023",0,NA,1
2023-10-08,"Sun","October 2023",0,NA,2
2023-10-09,"Mon","October 2023",401,401,2
2023-10-10,"Tue","October 2023",79,79,2
2023-10-11,"Wed","October 2023",85,85,2
2023-10-12,"Thu","October 2023",0,NA,2
2023-10-13,"Fri","October 2023",0,NA,2
2023-10-14,"Sat","October 2023",0,NA,2
2023-10-15,"Sun","October 2023",0,NA,3
2023-10-16,"Mon","October 2023",85,85,3
2023-10-17,"Tue","October 2023",115,115,3
2023-10-18,"Wed","October 2023",111,111,3
2023-10-19,"Thu","October 2023",0,NA,3
2023-10-20,"Fri","October 2023",0,NA,3
2023-10-21,"Sat","October 2023",0,NA,3
2023-10-22,"Sun","October 2023",0,NA,4
2023-10-23,"Mon","October 2023",438,438,4
2023-10-24,"Tue","October 2023",160,160,4
2023-10-25,"Wed","October 2023",37,37,4
2023-10-26,"Thu","October 2023",0,NA,4
2023-10-27,"Fri","October 2023",0,NA,4
2023-10-28,"Sat","October 2023",0,NA,4
2023-10-29,"Sun","October 2023",0,NA,5
2023-10-30,"Mon","October 2023",164,164,5
2023-10-31,"Tue","October 2023",76,76,5
2023-11-01,"Wed","November 2023",152,152,1
2023-11-02,"Thu","November 2023",0,NA,1
2023-11-03,"Fri","November 2023",0,NA,1
2023-11-04,"Sat","November 2023",0,NA,1
2023-11-05,"Sun","November 2023",0,NA,2
2023-11-06,"Mon","November 2023",18,18,2
2023-11-07,"Tue","November 2023",67,67,2
2023-11-08,"Wed","November 2023",15,15,2
2023-11-09,"Thu","November 2023",0,NA,2
2023-11-10,"Fri","November 2023",0,NA,2
2023-11-11,"Sat","November 2023",0,NA,2
2023-11-12,"Sun","November 2023",0,NA,3
2023-11-13,"Mon","November 2023",44,44,3
2023-11-14,"Tue","November 2023",83,83,3
2023-11-15,"Wed","November 2023",0,NA,3
2023-11-16,"Thu","November 2023",0,NA,3
2023-11-17,"Fri","November 2023",0,NA,3
2023-11-18,"Sat","November 2023",0,NA,3
2023-11-19,"Sun","November 2023",0,NA,4
2023-11-20,"Mon","November 2023",0,NA,4
2023-11-21,"Tue","November 2023",0,NA,4
2023-11-22,"Wed","November 2023",0,NA,4
2023-11-23,"Thu","November 2023",0,NA,4
2023-11-24,"Fri","November 2023",0,NA,4
2023-11-25,"Sat","November 2023",0,NA,4
2023-11-26,"Sun","November 2023",0,NA,5
2023-11-27,"Mon","November 2023",33,33,5
2023-11-28,"Tue","November 2023",185,185,5
2023-11-29,"Wed","November 2023",182,182,5
2023-11-30,"Thu","November 2023",0,NA,5
2023-12-01,"Fri","December 2023",0,NA,1
2023-12-02,"Sat","December 2023",0,NA,1
2023-12-03,"Sun","December 2023",0,NA,2
2023-12-04,"Mon","December 2023",611,611,2
