the_date,number_of_visits
1/24/2024,1364
12/4/2023,611
2/26/2024,570
10/2/2023,484
8/21/2023,477
8/28/2023,464
12/6/2023,463
4/10/2024,438
10/23/2023,438
10/9/2023,401
1/17/2024,369
8/30/2023,339
8/29/2023,311
12/11/2023,267
2/12/2024,229
9/19/2023,188
11/28/2023,185
8/23/2023,184
11/29/2023,182
9/26/2023,170
10/30/2023,164
10/24/2023,160
11/1/2023,152
2/21/2024,145
10/3/2023,125
10/17/2023,115
9/12/2023,115
10/18/2023,111
10/4/2023,93
12/12/2023,93
10/11/2023,85
10/16/2023,85
11/14/2023,83
8/22/2023,81
10/10/2023,79
10/31/2023,76
9/13/2023,71
12/5/2023,68
11/7/2023,67
9/5/2023,66
1/23/2024,65
9/20/2023,56
12/13/2023,54
9/6/2023,51
9/27/2023,47
11/13/2023,44
9/18/2023,41
10/25/2023,37
11/27/2023,33
9/11/2023,28
9/25/2023,18
11/6/2023,18
11/8/2023,15
2/28/2024,4
1/31/2024,3
2/14/2024,3
3/20/2024,2
3/13/2024,2
4/16/2024,2
4/3/2024,2
1/29/2024,2
4/24/2024,2
4/17/2024,2
4/22/2024,2
2/27/2024,1
2/19/2024,1
4/15/2024,1
4/2/2024,1
4/1/2024,1
3/11/2024,1
2/5/2024,1
4/29/2024,1
2/6/2024,1
2/7/2024,1
